date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:55:35	443/443	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Nov%202022%2014:42:13%20GMT	https://boredy00tsac.xyz/robots.txt		(from )
23:55:36	8997/8997	---M-Z	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2014:42:13%20GMT	https://boredy00tsac.xyz/	/Users/oneilbenjamin/websites/y00tssape/index-2.html	(from )
23:55:36	5684/5684	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202022%2014:42:13%20GMT	https://boredy00tsac.xyz/assets/images/logo/BYCPNG.png	/Users/oneilbenjamin/websites/y00tssape/assets/images/logo/BYCPNG.png	(from https://boredy00tsac.xyz/)
23:55:38	26053/26053	---M-Z	200	added ('OK')	text/css	date:Mon,%2021%20Nov%202022%2014:42:13%20GMT	https://boredy00tsac.xyz/assets/css/aos.css	/Users/oneilbenjamin/websites/y00tssape/assets/css/aos.css	(from https://boredy00tsac.xyz/)
23:55:38	163873/163873	---M-Z	200	added ('OK')	text/css	date:Mon,%2021%20Nov%202022%2014:42:13%20GMT	https://boredy00tsac.xyz/assets/css/bootstrap.min.css	/Users/oneilbenjamin/websites/y00tssape/assets/css/bootstrap.min.css	(from https://boredy00tsac.xyz/)
23:55:40	89220/89220	---M-Z	200	added ('OK')	text/css	date:Mon,%2021%20Nov%202022%2014:42:13%20GMT	https://boredy00tsac.xyz/assets/css/all.min.css	/Users/oneilbenjamin/websites/y00tssape/assets/css/all.min.css	(from https://boredy00tsac.xyz/)
23:55:40	17010/17010	---M-Z	200	added ('OK')	text/css	date:Mon,%2021%20Nov%202022%2014:42:13%20GMT	https://boredy00tsac.xyz/assets/css/lightcase.css	/Users/oneilbenjamin/websites/y00tssape/assets/css/lightcase.css	(from https://boredy00tsac.xyz/)
23:55:41	15820/15820	---M-Z	200	added ('OK')	text/css	date:Mon,%2021%20Nov%202022%2014:42:13%20GMT	https://boredy00tsac.xyz/assets/css/swiper-bundle.min.css	/Users/oneilbenjamin/websites/y00tssape/assets/css/swiper-bundle.min.css	(from https://boredy00tsac.xyz/)
23:55:42	55395/55395	---M-Z	200	added ('OK')	text/css	date:Mon,%2021%20Nov%202022%2014:42:13%20GMT	https://boredy00tsac.xyz/assets/css/style.css	/Users/oneilbenjamin/websites/y00tssape/assets/css/style.css	(from https://boredy00tsac.xyz/)
23:55:44	14200/14200	---M-Z	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202022%2014:42:13%20GMT	https://boredy00tsac.xyz/assets/images/logo/logobig.png	/Users/oneilbenjamin/websites/y00tssape/assets/images/logo/logobig.png	(from https://boredy00tsac.xyz/)
23:55:44	8997/8997	---M-Z	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2014:42:13%20GMT	https://boredy00tsac.xyz/index.html	/Users/oneilbenjamin/websites/y00tssape/index-3.html	(from https://boredy00tsac.xyz/)
